SCAFFOLD,START,END
NW_024423564.1,21881319,21881520
NW_024423564.1,25551402,25552151
NW_024423564.1,42905401,42905620
NW_024423564.1,44595716,44595917
NW_024423564.1,50908514,50908716
NW_024423675.1,16621509,16622206
NW_024423675.1,18743882,18746080
NW_024423675.1,28121184,28122916
NW_024423675.1,39152365,39156612
NW_024423675.1,58505145,58507382
NW_024423786.1,1964216,1964417
NW_024423786.1,16209329,16209562
NW_024423786.1,21727728,21727944
NW_024423786.1,22545757,22545958
NW_024423453.1,21463823,21464040
NW_024423453.1,21880488,21883111
NW_024423453.1,30736824,30736874
NW_024423453.1,37078791,37084898
NW_024423453.1,46632178,46632383
NW_024423453.1,47731295,47731500
NW_024423453.1,67074426,67074634
NW_024423343.1,39309109,39309357
NW_024423343.1,43540943,43542333
NW_024423343.1,53129952,53136202
NW_024423343.1,54270013,54276563
NW_024423343.1,84336321,84337127
NW_024423343.1,90226778,90227677
NW_024423343.1,97465428,97465642
NW_024423343.1,97990429,97990511
NW_024423344.1,11194758,11194954
NW_024423344.1,12909892,12916105
NW_024423344.1,39144927,39145035
NW_024423344.1,59919903,59920573
NW_024423343.1,21700161,21700966
NW_024423786.1,46443748,46443946
NW_024423786.1,46611703,46611849
NW_024423319.1,9515048,9516176
NW_024423319.1,43492140,43493793
NW_024423319.1,64251423,64252009
NW_024424008.1,39322638,39322708
NW_024424008.1,47705265,47705470
NW_024424230.1,805234,805445
NW_024424230.1,13347569,13347777
NW_024424230.1,39263812,39270938
NW_024424008.1,6830780,6830958
NW_024424008.1,9299273,9305504
NW_024424341.1,295994,296214
NW_024424341.1,15153200,15153876
NW_024424341.1,52086745,52086952
NW_024424453.1,442990,443846
NW_024424453.1,20334411,20340630
NW_024424453.1,21142569,21144376
NW_024424453.1,31170476,31170686
NW_024424453.1,53606531,53613023
NW_024424564.1,26267285,26269467
NW_024424564.1,48924183,48924467
NW_024424452.1,22136079,22136280
NW_024424452.1,33960483,33960686
NW_024424452.1,44926538,44926735
NW_024424675.1,12628455,12628649
NW_024424675.1,14782192,14782396
NW_024424786.1,6045610,6045817
NW_024424897.1,40680321,40680522
NW_024424897.1,42608735,42608951
NW_024425119.1,6284141,6284348
NW_024425119.1,8285329,8291598
NW_024425119.1,21603953,21605197
NW_024425230.1,1486317,1486523
NW_024425230.1,14420611,14420804
NW_024425230.1,29505706,29505907
NW_024425675.1,2623254,2623450
NW_024425675.1,6303977,6304216
NW_024425675.1,20831377,20832064
NW_024425675.1,25159264,25159472
NW_024425786.1,28496873,28497082
NW_024425341.1,19479170,19479371
NW_024425341.1,25747311,25747523
NW_024425452.1,15018472,15019794
