CHROM,MIN_START,MAX_END,AVG_START,AVG_END,AVG_SIZE,AVG_QUAL,SAMPLES_COUNT,SAMPLES_PERCENT,SIZE_STDEV,RSSD,BREAKPOINT_WINDOW,BREAKPOINT_PRECISION,START_BREAKPOINT_CONFIDENCE,END_BREAKPOINT_CONFIDENCE,SOFT_CLIP_SUPPORT,SAMPLES_WITH_BP_EVIDENCE,EVIDENCE_CLUSTERED,START_DEPTH_RATIO,END_DEPTH_RATIO,REPEAT_OVERLAP,REPEAT_OVERLAP_BP,REPEAT_OVERLAP_PERCENT,REPEAT_TYPES,REPEAT_NAMES,REPEAT_FAMILIES,REPEAT_CLASSES,PRIMARY_REPEAT_TYPE,PRIMARY_REPEAT_NAME,PRIMARY_REPEAT_OVERLAP_BP,NUM_REPEAT_ELEMENTS,REPEAT_DENSITY,DISTANCE_TO_NEAREST_REPEAT,PRIMARY_GENE_NAME,PRIMARY_GENE_START,PRIMARY_GENE_END,PRIMARY_GENE_STRAND,PRIMARY_GENE_OVERLAP_BP,PRIMARY_GENE_DISTANCE
NW_026623089.1,77250016,77250239,77250016,77250215,199,9999,13,100,6.93,0.0348,24,0.6917,0.6234,0.76,31,5,both,0.969,0.955,Yes,195,98.98477157,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,195,1,0.989847716,0,A1CF,77212550,77289156,+,197,0
NW_026623030.1,26450514,26451664,26450581.9,26451534.7,952.9,7877.71,13,100,143.58,0.1507,287.2,0.5797,0.6333,0.5261,47,2,both,1.01,1.067,No,0,0,None,None,None,None,None,None,0,0,0,1658,AACS,26412928,26471260,+,961,0
NW_026622963.1,3544913,3545983,3545075.8,3545830.9,755.1,5433.73,13,100,30.39,0.0402,314.9,0.64485,0.5864,0.7033,26,8,both,0.957,0.991,Yes,39,4.955527319,LINE,L3b_3end,CR1,LINE,LINE,L3b_3end,39,1,0.049555273,0,AAGAB,3489540,3554071,-,787,0
NW_026622786.1,28507132,28508098,28507280.5,28507952.5,672,5861.46,13,100,36.17,0.0538,294,0.66835,0.5267,0.81,35,7,both,0.963,0.969,Yes,253,43.47079038,SINE,MIRb;MirAng-1.14,MIR;tRNA,SINE,SINE,MIRb,167,2,0.434707904,0,ABCA4,28416238,28550639,+,582,0
NW_026622985.1,29377033,29377244,29377033.1,29377202.9,169.8,9999,13,100,20.23,0.1191,41.2,0.66269,0.53368,0.7917,44,6,both,1.458,0.989,Yes,151,89.88095238,LINE,AilMel-5.1023,L1,LINE,LINE,AilMel-5.1023,151,1,0.898809524,0,ABCB1,29277862,29374758,-,0,2268
NC_079873.1,60026502,60026756,60026504.5,60026717.6,213.1,9242.08,13,100,17.43,0.0818,40.9,0.7859,0.6244,0.9474,38,5,both,0.815,0.894,Yes,207,100,SINE,AilMel-1.144,tRNA,SINE,SINE,AilMel-1.144,207,1,1,0,ABCB7,59834132,60051751,-,207,0
NW_026622874.1,77847970,77848677,77848062.1,77848467.7,405.6,7235.56,13,100,23.12,0.057,301.4,0.7275,0.6974,0.7576,48,4,both,1.17,1.086,Yes,322,98.17073171,LINE,AilMel-5.28,L1,LINE,LINE,AilMel-5.28,322,1,0.981707317,0,ABCC1,77796706,77927920,+,328,0
NW_026623089.1,27743539,27745555,27743726.2,27745397.2,1671,5227.92,13,100,26.36,0.0158,345,0.6721000000000001,0.7667,0.5775000000000001,33,5,both,0.973,1.264,Yes,1541,100,LINE;SINE,AilMel-5.25;AilMel-5.28,L1;tRNA,LINE;SINE,LINE,AilMel-5.28,627,4,1,0,ABCC2,27649547,27751846,-,1541,0
NW_026623056.1,16541856,16546422,16542050.2,16546263.3,4213.1,5251.04,13,100,44.16,0.0105,352.9,0.71115,0.7429,0.6794,24,9,both,0.969,0.9,Yes,3768,93.06001482,LINE;LTR;SINE;Simple_repeat;snRNA,(CA)n;(GA)n;(GGTT)n;AilMel-1.12;AilMel-1.18;AilMel-3.126;L1MB7_3end;LTR37A;MER90;MER92-int;MIR;MIRb;U6;UrsMar-5.1186,ERV1;L1;MIR;tRNA,LINE;LTR;SINE;Simple_repeat;snRNA,LTR,MER92-int,1262,17,0.930600148,0,ABCC5,16406304,16573631,-,4049,0
NW_026622763.1,78196744,78196979,78196746.1,78196978.8,232.7,9999,13,100,2.3,0.0099,20,0.77745,0.7749,0.78,42,7,both,0.981,1.069,Yes,234,100,LINE;SINE,AilMel-1.10;L1MEc_5end,L1;tRNA,LINE;SINE,LINE,L1MEc_5end,153,2,1,0,ABI2,78173330,78288458,+,234,0
NW_026623089.1,15553016,15553982,15553113,15553747.3,634.3,7654.53,13,100,20.45,0.0322,331.7,0.81385,0.8113,0.8164,38,7,both,1.101,1.033,Yes,202,30.46757164,SINE;Simple_repeat,(TCTCCC)n;AilMel-1.9;ZalCal-6.612,tRNA,SINE;Simple_repeat,SINE,ZalCal-6.612,114,4,0.304675716,0,ABLIM1,15408778,15698659,+,663,0
NW_026622886.1,8711857,8712117,8711890.3,8712037.5,147.2,9999,13,100,22.2,0.1508,112.8,0.49019,0.41848,0.5619,36,5,both,1.257,1.032,Yes,220,100,Simple_repeat,(GATGGT)n,None,Simple_repeat,Simple_repeat,(GATGGT)n,220,1,1,0,ABTB3,8568003,8867731,-,220,0
NW_026622919.1,35071785,35071850,35071785,35071850,65,9999,13,100,0,0,20,0.6382,0.7283,0.5481,41,6,both,1.107,0.985,Yes,65,100,SINE,MIR,MIR,SINE,SINE,MIR,65,1,1,0,ACACA,34968017,35248402,-,65,0
NW_026623008.1,4145431,4145976,4145474.7,4145706.1,231.4,9287.71,13,100,10.68,0.0462,313.6,0.65,0.62,0.68,40,10,both,1.133,0.957,Yes,400,194.1747573,SINE,AilMel-5.756;MirAng-1.14,tRNA,SINE,SINE,AilMel-5.756,201,2,1.941747573,0,ACOT7,4060067,4171291,-,206,0
NW_026623111.1,3150696,3150953,3150708,3150918,210,9999,13,100,8.61,0.041,47,0.49208500000000005,0.401,0.5831700000000001,44,12,both,0.9,1.205,Yes,212,92.17391304,SINE,AilMel-5.25;UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,144,2,0.92173913,0,ACOX3,3111345,3148386,+,0,2298
NW_026622875.1,50359465,50359826,50359492.9,50359789.1,296.2,9999,13,100,11.02,0.0372,64.8,0.5383125,0.527625,0.549,31,9,both,0.795,1.009,Yes,309,86.55462185,DNA;SINE,AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,SINE,AilMel-5.756,202,3,0.865546218,0,ACVR2B,50340384,50380590,-,357,0
NW_026622775.1,68394815,68395435,68394832.5,68395434.5,602,9999,13,100,13.49,0.0224,27,0.4595,0.475,0.444,41,6,both,0.948,1.045,Yes,557,92.37147595,LINE,AilMel-5.28,L1,LINE,LINE,AilMel-5.28,557,1,0.92371476,0,ADAM28,68328852,68401543,-,603,0
NW_026622775.1,68226202,68226356,68226214.5,68226329.2,114.7,9999,13,100,6.17,0.0538,39.3,0.4961,0.4672,0.525,35,9,both,0.89,0.855,Yes,88,100,LINE,AilMel-1.74,L1,LINE,LINE,AilMel-1.74,88,1,1,0,ADAM7,68166882,68250795,-,88,0
NW_026622819.1,25714498,25717493,25714653.4,25717346,2692.6,5641.56,13,100,30.67,0.0114,302.4,0.73785,0.7632,0.7125,43,9,both,1.15,1.085,Yes,1092,40.53452116,LINE;LTR;SINE,DIRS-1c_Amnio;L2d_3end;MIRb;MLT1C2,DIRS;ERVL-MaLR;L2;MIR,LINE;LTR;SINE,LTR,MLT1C2,455,5,0.405345212,0,ADAMTS12,25710557,26003194,-,2694,0
NW_026622963.1,21449367,21449458,21449373,21449452.4,79.4,9999,13,100,11.06,0.1394,22.1,0.40633,0.4833,0.32936000000000004,30,5,both,1.016,0.556,Yes,65,100,Simple_repeat,(AT)n,None,Simple_repeat,Simple_repeat,(AT)n,65,1,1,0,ADAMTS17,21303977,21655693,+,65,0
NW_026623111.1,55428287,55428341,55428297.2,55428341,43.8,9999,13,100,2.97,0.0677,20,0.737995,0.5858,0.89019,38,4,both,0.935,1.207,No,0,0,None,None,None,None,None,None,0,0,0,555,ADAMTS3,55409895,55665909,-,43,0
NW_026623111.1,55537905,55538154,55537905,55538114.2,209.2,9999,13,100,19.85,0.0949,39.8,0.6929,0.7262,0.6596,32,6,both,0.91,0.979,Yes,171,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,171,1,1,0,ADAMTS3,55409895,55665909,-,171,0
NW_026622852.1,12724570,12724807,12724570,12724769.8,199.8,9999,13,100,11.26,0.0564,37.2,0.74395,0.7848,0.7031,39,4,both,1.094,1.06,Yes,193,100,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,193,1,1,0,ADAMTSL1,12048594,12927550,+,193,0
NW_026622852.1,12583226,12583550,12583284.5,12583474.8,190.4,5433.69,13,100,29.76,0.1563,133.6,0.64672,0.54344,0.75,47,6,both,1.467,0.932,Yes,206,100,DNA;SINE,AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,SINE,AilMel-5.756,202,2,1,0,ADAMTSL1,12048594,12927550,+,206,0
NW_026622963.1,36017514,36017712,36017514.1,36017711.9,197.8,9999,13,100,0.36,0.0018,20,0.6979,0.6364,0.7594,38,5,both,1.043,0.804,Yes,396,200,DNA;SINE,AilMel-5.756;PumCon-3.547,TcMar-Tigger;tRNA,DNA;SINE,DNA,PumCon-3.547,198,2,2,0,ADAMTSL3,35715582,36047413,+,198,0
NW_026622963.1,35874644,35874864,35874662.5,35874863.4,200.9,9999,13,100,5,0.0249,20,0.72665,0.63,0.8233,40,4,both,1.089,1.044,Yes,202,98.53658537,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,202,1,0.985365854,0,ADAMTSL3,35715582,36047413,+,205,0
NW_026622930.1,23580445,23584393,23580601.8,23584245,3643.2,5249.52,13,100,32.53,0.0089,304.8,0.6397,0.55,0.7294,21,9,both,0.991,1.143,Yes,1364,38.05803571,DNA;LINE;LTR;Simple_repeat,(TTG)n;GA-rich;L1MD3_3end;LTR52;MER5A;MER5A1;MER5B;MLT1K,ERVL;ERVL-MaLR;L1;hAT-Charlie,DNA;LINE;LTR;Simple_repeat,LINE,L1MD3_3end,508,9,0.380580357,0,ADCK1,23558284,23700864,-,3584,0
NW_026622819.1,5800292,5800575,5800292,5800524.1,232.1,9999,13,100,26.48,0.1141,53,0.5794699999999999,0.44223999999999997,0.7167,34,6,both,1.4,0.929,Yes,201,92.62672811,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,201,1,0.926267281,0,ADCY2,5594178,5982461,+,217,0
NW_026623111.1,1959701,1966248,1959817.2,1966055.1,6237.9,6518.85,13,100,23.71,0.0038,309.1,0.57972,0.65,0.50944,35,6,both,1.015,0.664,Yes,5984,99.98329156,LINE;SINE;Simple_repeat,(GCTGGCG)n;AilMel-1.74;AilMel-5.25,L1;tRNA,LINE;SINE;Simple_repeat,LINE,AilMel-1.74,5183,5,0.999832916,0,ADD1,1920759,2012538,+,5985,0
NW_026623111.1,1929406,1930569,1929561,1930403.7,842.7,5678.04,13,100,27.38,0.0325,320.3,0.5715,0.46799999999999997,0.675,36,3,both,1.489,0.968,Yes,1034,95.82947173,DNA;LINE,AilMel-5.28;L4_A_Mam;MER58B,L1;RTE-X;hAT-Charlie,DNA;LINE,LINE,AilMel-5.28,822,4,0.958294717,0,ADD1,1920759,2012538,+,1079,0
NW_026623100.1,35696179,35696496,35696179.5,35696439.3,259.8,9999,13,100,30.08,0.1158,60.2,0.7797000000000001,0.7642,0.7952,36,9,both,0.942,1,Yes,430,186.1471861,SINE,AilMel-5.756;MirAng-6.1356,tRNA,SINE,SINE,MirAng-6.1356,227,2,1.861471861,0,ADD2,35661753,35706023,-,231,0
NW_026623078.1,85189901,85190522,85189950.6,85190236.6,286,9287.14,13,100,14.08,0.0492,335,0.5580499999999999,0.509,0.6071,50,3,both,0.969,0.985,No,0,0,None,None,None,None,None,None,0,0,0,1855,ADGRB1,85151299,85231385,+,286,0
NW_026623111.1,46993873,46994990,46994036,46994835.3,799.3,5043.62,13,100,35.56,0.0445,317.7,0.66998,0.61056,0.7294,36,6,both,1.205,0.947,Yes,5,0.625782228,Simple_repeat,(TG)n,None,Simple_repeat,Simple_repeat,(TG)n,5,1,0.006257822,0,ADGRL3,46935062,47723627,+,799,0
NW_026623067.1,72185499,72185738,72185499,72185686.8,187.8,9241.69,13,100,25.94,0.1382,51.9,0.65,0.4,0.9,30,5,both,1.443,1.09,Yes,171,96.61016949,SINE,AilMel-5.756,tRNA,SINE,SINE,AilMel-5.756,171,1,0.966101695,0,ADGRV1,71902173,72410227,+,177,0
NW_026623089.1,50364438,50366235,50364587.1,50366080.5,1493.4,5457.08,13,100,31.47,0.0211,303.6,0.7461,0.7455,0.7467,26,2,both,0.991,0.966,Yes,893,65.04005827,LINE;LTR,L1ME3A_3end;L2;L2c_3end;MLT1H2,ERVL-MaLR;L1;L2,LINE;LTR,LINE,L2c_3end,446,4,0.650400583,0,ADK,50306102,50824485,-,1373,0
