CHROM,MIN_START,MAX_END,AVG_START,AVG_END,AVG_SIZE,AVG_QUAL,SAMPLES_COUNT,SAMPLES_PERCENT,SIZE_STDEV,RSSD,BREAKPOINT_WINDOW,BREAKPOINT_PRECISION,START_BREAKPOINT_CONFIDENCE,END_BREAKPOINT_CONFIDENCE,SOFT_CLIP_SUPPORT,SAMPLES_WITH_BP_EVIDENCE,EVIDENCE_CLUSTERED,START_DEPTH_RATIO,END_DEPTH_RATIO,REPEAT_OVERLAP,REPEAT_OVERLAP_BP,REPEAT_OVERLAP_PERCENT,REPEAT_TYPES,REPEAT_NAMES,REPEAT_FAMILIES,REPEAT_CLASSES,PRIMARY_REPEAT_TYPE,PRIMARY_REPEAT_NAME,PRIMARY_REPEAT_OVERLAP_BP,NUM_REPEAT_ELEMENTS,REPEAT_DENSITY,DISTANCE_TO_NEAREST_REPEAT,PRIMARY_GENE_NAME,PRIMARY_GENE_START,PRIMARY_GENE_END,PRIMARY_GENE_STRAND,PRIMARY_GENE_OVERLAP_BP,PRIMARY_GENE_DISTANCE
NW_024426885.1,78182361,78182617,78182407.3,78182590.4,183.1,9014.4,10,100,14.65,0.08,72.9,0.5965575000000001,0.63,0.563115,35,3,both,0.622,1.842,Yes,192,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,192,1,1,0,A1CF,78174499,78223281,+,192,0
NW_024424453.1,24660696,24660930,24660696.6,24660903.7,207.1,9010.2,10,100,9.14,0.0441,26.9,0.7404275,0.50824,0.972615,37,1,both,1.474,5.105,Yes,210,100,LTR;SINE,MER31-int;UrsMar-6.1536,ERV1;tRNA,LTR;SINE,SINE,UrsMar-6.1536,200,2,1,0,A4GNT,24662762,24668684,+,0,1861
NW_024423453.1,56504623,56504910,56504642.2,56504876.5,234.3,9011.3,10,100,13.72,0.0586,52.7,0.7225575,0.6244350000000001,0.82068,38,2,both,0.238,4.9,Yes,222,100,SINE;Simple_repeat,(ATTT)n;UrsMar-6.1536,tRNA,SINE;Simple_repeat,SINE,UrsMar-6.1536,190,2,1,0,AADAT,56509442,56531122,-,0,4570
NW_024426774.1,51235243,51235472,51235243.1,51235450.4,207.3,9999,10,100,11.77,0.0568,23.5,0.41855,0.1,0.7371,25,2,end,,5.143,Yes,200,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,200,1,1,0,AAK1,51100879,51264197,+,200,0
NW_024423343.1,21700161,21700966,21700161,21700966,805,9999,10,100,0,0,20,0.7167300000000001,0.63,0.8034600000000001,43,2,both,0.6,4.25,Yes,805,100,LINE;Simple_repeat,(TT)n;UrsMar-1.201,L1,LINE;Simple_repeat,LINE,UrsMar-1.201,761,2,1,0,ABCA12,21617302,21791253,+,805,0
NW_024424897.1,11135441,11135707,11135441,11135666.5,225.5,9999,10,100,21.69,0.0962,43.4,0.79023,0.659715,0.920745,41,2,both,0.123,3.769,Yes,204,98.55072464,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,204,1,0.985507246,0,ABCA6,11119460,11178572,+,207,0
NW_024426885.1,66334085,66334301,66334099.4,66334299.6,200.2,9999,10,100,5.06,0.0253,20,0.378125,0.65625,0.1,20,3,start,0.101,,Yes,198,99.49748744,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,198,1,0.994974874,0,ABCB10,66306481,66340787,-,199,0
NW_024423319.1,65301786,65302077,65301786,65302010.5,224.5,9999,10,100,31.34,0.1396,66.5,0.7493325000000001,0.6825000000000001,0.816165,40,2,both,0.158,2.758,Yes,201,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,1,0,ABCB7,65199344,65401883,+,201,0
NW_024423319.1,65270700,65270968,65270700,65270912.7,212.7,7038.9,10,100,28.94,0.1361,57.9,0.8739675,0.78372,0.964215,46,2,both,0.083,11.333,Yes,194,100,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,194,1,1,0,ABCB7,65199344,65401883,+,194,0
NW_024424452.1,26752511,26752747,26752511.1,26752716.4,205.3,9999,10,100,10.24,0.0499,30.7,0.7200899999999999,0.5984999999999999,0.84168,36,2,both,0.049,103,Yes,201,99.5049505,SINE,UrsMar-6.1536,tRNA,SINE,SINE,UrsMar-6.1536,201,1,0.995049505,0,ABCC1,26629377,26760106,-,202,0
